vendor_action,action
TCP_HIT,allowed
TCP_MISS,allowed
TCP_REFRESH_HIT,allowed
TCP_REF_FAIL_HIT,allowed
TCP_REFRESH_FAIL_HIT,allowed
TCP_REFRESH_MISS,allowed
TCP_REFRESH_MODIFIED,allowed
TCP_REFRESH_UNMODIFIED,allowed
TCP_CLIENT_REFRESH,allowed
TCP_IMS_HIT,allowed
TCP_IMS_MISS,allowed
TCP_SWAPFAIL,denied
TCP_DENIED,denied
TCP_TUNNEL,allowed
TCP_TUNNEL_ABORTED,allowed
UDP_HIT,allowed
UDP_HIT_OBJ,allowed
UDP_MISS,allowed
UDP_DENIED,denied
UDP_INVALID,denied
UDP_RELOADING,allowed
NONE,NONE
NONE_NONE,failed
NONE_NONE_ABORTED,failed
TCP_MISS_ABORTED,failed
TCP_MEM_HIT,allowed
